File Name,Exposure Time,File Path,Step,Gas Type
test_02_27_1150b_Ar_30sec.fits,30.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/test_02_27_1150b_Ar_30sec.fits,1150,Ar
test_02_27_1150_Ar_30sec.fits,30.125,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1150_Ar_30sec.fits,1150,Ar
test_02_27_1000_Ar_30sec.fits,30.187,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1000_Ar_30sec.fits,1000,Ar
test_02_27_1190_Ar_30sec.fits,30.125,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1190_Ar_30sec.fits,1190,Ar
test_02_27_1050_Ar_30sec.fits,30.063,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1050_Ar_30sec.fits,1050,Ar
test_02_27_1100_Ar_30sec.fits,30.187,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1100_Ar_30sec.fits,1100,Ar
test_02_27_1150b_Ar_30sec.fits,30.016,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1150b_Ar_30sec.fits,1150,Ar
test_02_27_1223_Ar_30sec.fits,30.094,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1223_Ar_30sec.fits,1223,Ar
test_02_27_1253_Ar_30sec.fits,30.047,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1253_Ar_30sec.fits,1253,Ar
test_02_27_1175_Ar_30sec.fits,30.062,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1175_Ar_30sec.fits,1175,Ar
test_02_27_1200_Ar_30sec.fits,30.109,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1200_Ar_30sec.fits,1200,Ar
test_02_27_1283_Ar_30sec.fits,30.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1283_Ar_30sec.fits,1283,Ar
test_02_27_1125_Ar_30sec.fits,30.078,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/Data02272024/test_02_27_1125_Ar_30sec.fits,1125,Ar
test_02_29_1050_He_60sec.fits,60.125,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-29-2024/test_02_29_1050_He_60sec.fits,1050,He
test_02_29_1100_He_60sec.fits,60.407,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-29-2024/test_02_29_1100_He_60sec.fits,1100,He
test_02_29_1150_He_60sec.fits,60.265,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-29-2024/test_02_29_1150_He_60sec.fits,1150,He
test_02_29_1200_He_60sec.fits,60.015,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-29-2024/test_02_29_1200_He_60sec.fits,1200,He
test_02_29_1250_He_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-29-2024/test_02_29_1250_He_60sec.fits,1250,He
test_02_29_1300_He_60sec.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/02-29-2024/test_02_29_1300_He_60sec.fits,1300,He
test_03_04_1203_Ar_60sec_0012.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0012_HV250mA_HV8300V_MCP2850V/test_03_04_1203_Ar_60sec_0012.fits,1203,Ar
test_03_04_1273_Ar_60sec_0012.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0012_HV250mA_HV8300V_MCP2850V/test_03_04_1273_Ar_60sec_0012.fits,1273,Ar
test_03_04_1253_Ar_60sec_0012.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0012_HV250mA_HV8300V_MCP2850V/test_03_04_1253_Ar_60sec_0012.fits,1253,Ar
test_03_04_1253_Ar_60sec_0013.fits,60.0,/Users/arkhan/Documents/Aspera_Lamp_analysis/data/03-06-2024/Argon_11psi_0013_HV250mA_HV8300V_MCP2850V/test_03_04_1253_Ar_60sec_0013.fits,1253,Ar
